post_id,platform,user_id,user_name_x,created_at,text,likes,comments,shares,sentiment_label,country_x,date,hour,engagement,text_clean,hashtag_list,user_name_y,country_y,language,account_type,followers_count,verified,join_date,age_group,gender,industry
P00001,Facebook,U035,hoa.le,2025-02-22 16:06:00,    Feeling  great  today  with  #sale!  Comment  your  thoughts  @review.channel  https://tiktok.com/@brandx      ,1395,436,26,positive,UK,2025-02-22,16,1857,feeling great today with #sale! comment your thoughts @review.channel https://tiktok.com/@brandx,['#sale'],travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00074,Twitter,U035,brandX_official,2025-03-04 13:42:00,KHÁCH HÀNG NÓI GÌ VỀ BRAND X? #WINTER #TRAVEL @GAME.STREAM XEM CHI TIẾT TẠI HTTPS://EXAMPLE.COM/BLOG 😂,1132,401,205,neutral,Vietnam,2025-03-04,13,1738,khách hàng nói gì về brand x? #winter #travel @game.stream xem chi tiết tại https://example.com/blog 😂,"['#winter', '#travel']",travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00128,TikTok,U035,lan.tran,2025-01-13 11:14:00,  Big update: #noel is now available. Limited promo #sale @foodlover https://example.com/blog    😂,0,327,438,positive,Vietnam,2025-01-13,11,765,big update: #noel is now available. limited promo #sale @foodlover https://example.com/blog 😂,"['#noel', '#sale']",travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00005,Twitter,U011,chef.tasty,2025-03-26 16:10:00,check out our new campaign #tiktoktrend on twitter! thanks @review.channel for sharing the news. https://youtu.be/xyz123 😂,1870,198,293,neutral,Vietnam,2025-03-26,16,2361,check out our new campaign #tiktoktrend on twitter! thanks @review.channel for sharing the news. https://youtu.be/xyz123 😂,['#tiktoktrend'], REVIEW.CHANNEL665 ,France,fr,personal,1397,True,,45-54,other,Travel
P00141,TikTok,U011,movie_buff,2025-01-03 08:30:00,  BIG UPDATE: #TIKTOKTREND IS NOW AVAILABLE. LIMITED PROMO #HOTTREND @JOHN.SMITH HTTPS://TIKTOK.COM/@BRANDX   ,0,220,0,negative,UK,2025-01-03,8,220,big update: #tiktoktrend is now available. limited promo #hottrend @john.smith https://tiktok.com/@brandx,"['#tiktoktrend', '#hottrend']", REVIEW.CHANNEL665 ,France,fr,personal,1397,True,,45-54,other,Travel
P00006,Twitter,U076,hoa.le,2025-03-22 19:00:00,Bạn đã thử sản phẩm mới chưa? #vlog @daily.vlog Review ngay tại https://tiktok.com/@brandx,244,327,147,negative,Germany,2025-03-22,19,718,bạn đã thử sản phẩm mới chưa? #vlog @daily.vlog review ngay tại https://tiktok.com/@brandx,['#vlog'],game.stream830,Thailand,ko,personal,4643,False,,45-54,male,Education
P00240,TikTok,U076,tech.guru,2025-02-23 04:04:00,LIVE STREAM ON TIKTOK TONIGHT! #SALE #WINTER JOIN US @HOA.LE HTTPS://BRANDX.COM,1978,666,502,negative,Thailand,2025-02-23,4,3146,live stream on tiktok tonight! #sale #winter join us @hoa.le https://brandx.com,"['#sale', '#winter']",game.stream830,Thailand,ko,personal,4643,False,,45-54,male,Education
P00010,Facebook,U021,lifeoflinh,2025-01-10 06:55:00,TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #SUMMER @FOODLOVER MORE INFO: HTTPS://BRANDX.COM 👍,234,0,265,positive,UK,2025-01-10,6,499,top 5 tips for better results with brand x #summer @foodlover more info: https://brandx.com 👍,['#summer'],MOVIE_BUFF,Japan,fr,brand,66958,True,,25-34,other,Sports
P00265,TikTok,U021,game.stream,2025-02-17 05:10:00,  Top 5 tips for better results with Brand X #sale @game.stream More info: https://youtu.be/xyz123    👍,603,71,230,positive,Germany,2025-02-17,5,904,top 5 tips for better results with brand x #sale @game.stream more info: https://youtu.be/xyz123 👍,['#sale'],MOVIE_BUFF,Japan,fr,brand,66958,True,,25-34,other,Sports
P00012,Facebook,U045,ngoc.trinh,2025-03-27 22:19:00,  FEELING GREAT TODAY WITH #BLACKFRIDAY! COMMENT YOUR THOUGHTS @BRANDX_OFFICIAL HTTPS://TIKTOK.COM/@BRANDX    ❤️,2116,263,284,positive,Japan,2025-03-27,22,2663,feeling great today with #blackfriday! comment your thoughts @brandx_official https://tiktok.com/@brandx ❤️,['#blackfriday'], FOOTBALL_FEVER279 ,Japan,ko,personal,3142,False,,18-24,male,Sports
P00456,YouTube,U045,daily.vlog,2025-01-31 22:20:00,  CHECK OUT OUR NEW CAMPAIGN #BRANDX ON YOUTUBE! THANKS @LIFEOFLINH FOR SHARING THE NEWS. HTTP://BIT.LY/DEAL   ,2253,499,303,neutral,Thailand,2025-01-31,22,3055,check out our new campaign #brandx on youtube! thanks @lifeoflinh for sharing the news. http://bit.ly/deal,['#brandx'], FOOTBALL_FEVER279 ,Japan,ko,personal,3142,False,,18-24,male,Sports
P00016,YouTube,U078,chef.tasty,2025-02-14 06:37:00,FEELING GREAT TODAY WITH #NEWPRODUCT! COMMENT YOUR THOUGHTS @MOVIE_BUFF HTTPS://YOUTU.BE/XYZ123,3456,323,0,positive,Korea,2025-02-14,6,3779,feeling great today with #newproduct! comment your thoughts @movie_buff https://youtu.be/xyz123,['#newproduct'], daily.vlog ,France,fr,personal,1129,False,,25-34,other,Travel
P00038,TikTok,U017,hoa.le,2025-01-24 01:17:00,Check  out  our  new  campaign  #blackfriday  on  TikTok!  Thanks  @daily.vlog  for  sharing  the  news.  http://bit.ly/deal  👍,205,124,0,positive,Japan,2025-01-24,1,329,check out our new campaign #blackfriday on tiktok! thanks @daily.vlog for sharing the news. http://bit.ly/deal 👍,['#blackfriday'], CHEF.TASTY777  🔥,Thailand,en,personal,275,False,,45-54,male,Education
P00238,Facebook,U017,music_fan,2025-01-10 07:12:00,BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #SUMMER @DAILY.VLOG REVIEW NGAY TẠI HTTP://BIT.LY/DEAL 😀,512,141,121,positive,Germany,2025-01-10,7,774,bạn đã thử sản phẩm mới chưa? #summer @daily.vlog review ngay tại http://bit.ly/deal 😀,['#summer'], CHEF.TASTY777  🔥,Thailand,en,personal,275,False,,45-54,male,Education
P00040,Facebook,U020,brandX_official,2025-03-27 09:35:00,  Khách hàng nói gì về Brand X? #music #promo @ngoc.trinh Xem chi tiết tại https://tiktok.com/@brandx    😂,1641,291,367,negative,Korea,2025-03-27,9,2299,khách hàng nói gì về brand x? #music #promo @ngoc.trinh xem chi tiết tại https://tiktok.com/@brandx 😂,"['#music', '#promo']", hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00175,YouTube,U020,ngoc.trinh,2025-02-21 19:48:00,    Bạn  đã  thử  sản  phẩm  mới  chưa?  #vlog  @john.smith  Review  ngay  tại  https://tiktok.com/@brandx        💥,4137,0,557,negative,Korea,2025-02-21,19,4694,bạn đã thử sản phẩm mới chưa? #vlog @john.smith review ngay tại https://tiktok.com/@brandx 💥,['#vlog'], hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00180,Twitter,U020,chef.tasty,2025-02-25 00:53:00,TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #PROMO @MUSIC_FAN MORE INFO: HTTPS://YOUTU.BE/XYZ123 😂,0,0,195,negative,UK,2025-02-25,0,195,top 5 tips for better results with brand x #promo @music_fan more info: https://youtu.be/xyz123 😂,['#promo'], hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00053,YouTube,U054,daily.vlog,2025-03-05 10:51:00,  FEELING GREAT TODAY WITH #FOOTBALL! COMMENT YOUR THOUGHTS @MOVIE_BUFF HTTPS://EXAMPLE.COM/BLOG   ,3407,754,500,positive,Vietnam,2025-03-05,10,4661,feeling great today with #football! comment your thoughts @movie_buff https://example.com/blog,['#football'], john.smith343 ,Thailand,en,personal,1461,True,,35-44,female,Food & Beverage
